experiment_id,code,embedding,experiment_kind,cycles,shots,p_cnot,p_idle,p_prep,p_meas,kernel,kernel_params,J0,tau,use_weak_limit,primary_decoder,secondary_decoder,notes,geometry_scope,timestamp,embedding_params,embedding_hash,decoded_sector,d,n_data,n_total,k,build_seconds,num_detectors,num_observables,num_dem_errors,circuit_depth,reference_weighted_exposure,reference_aggregate_pair_probability_max,reference_aggregate_amplitude_max,reference_aggregate_location_strength_max,full_cycle_aggregate_pair_probability_max,full_cycle_aggregate_amplitude_max,full_cycle_aggregate_location_strength_max,num_pair_channels,num_workers,primary_failures,primary_shots,primary_discards,primary_ler_total,primary_ler_total_lo,primary_ler_total_hi,primary_ler_per_cycle_derived,primary_decoder_seconds,primary_cpu_seconds,wall_seconds
bb108_j0_0.01_ibm_,BB108,ibm_biplanar,z_memory,10,2500,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.01,1.0,False,bposd,,BB108 appendix J0 slice,theory_reduced,2026-03-22T15:05:15.538736+00:00,"{'code': 'BB108', 'embedding_type': 'ibm_biplanar', 'h': 1.0, 'lane_eps': 1.8518518518518518e-05, 'layer_A': ['A2', 'A3', 'B3'], 'layer_B': ['A1', 'B1', 'B2']}",5b40c0a0f3f427e0,X,12,108,216,8,10.456936836242676,594,8,47898,81,,,,,0.0008102336835752,0.0956520168629783,0.0956520168629783,42930,10,0,2500,0,0.0,0.0,0.0007361508123206,0.0,126.92011761665344,1059.8179352916777,
bb108_j0_0.01_mono,BB108,monomial_column,z_memory,10,2500,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.01,1.0,False,bposd,,BB108 appendix J0 slice,theory_reduced,2026-03-22T14:49:56.525420+00:00,"{'code': 'BB108', 'embedding_type': 'monomial_column', 'scale_y': 1.0, 'x_positions': {'X': 0.0, 'L': 1.0, 'R': 2.0, 'Z': 3.0}}",f4d5af2c693f7753,X,12,108,216,8,1.620676040649414,594,8,47898,81,,,,,0.0051295467081463,0.520455599626883,0.520455599626883,42930,10,3,2500,0,0.0012,0.0005469785447633,0.0023659154952504,0.0001200648492908,244.9932906627655,2222.031700566411,
bb108_j0_0.02_ibm_,BB108,ibm_biplanar,z_memory,10,2500,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.02,1.0,False,bposd,,BB108 appendix J0 slice,theory_reduced,2026-03-22T15:06:26.293481+00:00,"{'code': 'BB108', 'embedding_type': 'ibm_biplanar', 'h': 1.0, 'lane_eps': 1.8518518518518518e-05, 'layer_A': ['A2', 'A3', 'B3'], 'layer_B': ['A1', 'B1', 'B2']}",5b40c0a0f3f427e0,X,12,108,216,8,10.456420183181764,594,8,47898,81,,,,,0.0032406165946132,0.1913040337259567,0.1913040337259567,42930,10,1,2500,0,0.0004,6.9096626462009e-05,0.0013192210203623,4.000720182451012e-05,165.06831884384155,1480.024946201593,
bb108_j0_0.02_mono,BB108,monomial_column,z_memory,10,2500,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.02,1.0,False,bposd,,BB108 appendix J0 slice,theory_reduced,2026-03-22T14:54:08.701564+00:00,"{'code': 'BB108', 'embedding_type': 'monomial_column', 'scale_y': 1.0, 'x_positions': {'X': 0.0, 'L': 1.0, 'R': 2.0, 'Z': 3.0}}",f4d5af2c693f7753,X,12,108,216,8,1.5986955165863037,594,8,47898,81,,,,,0.0205161775434204,1.040911199253766,1.040911199253766,42930,10,37,2500,0,0.0148,0.0123904706195587,0.0176298168024926,0.0014899501940125,715.2631268501282,6984.443404296413,
bb108_j0_0.04_ibm_,BB108,ibm_biplanar,z_memory,10,2500,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,1.0,False,bposd,,BB108 appendix J0 slice,theory_reduced,2026-03-22T15:07:43.438558+00:00,"{'code': 'BB108', 'embedding_type': 'ibm_biplanar', 'h': 1.0, 'lane_eps': 1.8518518518518518e-05, 'layer_A': ['A2', 'A3', 'B3'], 'layer_B': ['A1', 'B1', 'B2']}",5b40c0a0f3f427e0,X,12,108,216,8,10.458534240722656,594,8,47898,81,,,,,0.0129573771581421,0.3826080674519134,0.3826080674519134,42930,10,11,2500,0,0.0044,0.0030951495892632,0.0061611947676243,0.0004408736355151,337.68746304512024,3189.0459453891963,
bb108_j0_0.04_mono,BB108,monomial_column,z_memory,10,2500,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,1.0,False,bposd,,BB108 appendix J0 slice,theory_reduced,2026-03-22T15:00:35.897465+00:00,"{'code': 'BB108', 'embedding_type': 'monomial_column', 'scale_y': 1.0, 'x_positions': {'X': 0.0, 'L': 1.0, 'R': 2.0, 'Z': 3.0}}",f4d5af2c693f7753,X,12,108,216,8,1.6074354648590088,594,8,47898,81,,,,,0.0820325678890222,2.081822398507532,2.081822398507532,42930,10,525,2500,0,0.21,0.2017736416677511,0.2184640051668334,0.0232965784414228,2390.375236988068,23762.92785800807,
bb144_baseline_bi,BB144,ibm_biplanar,z_memory,12,4000,0.001,0.001,0.001,0.001,crossing,{},0.0,1.0,False,bposd,,bb144 baseline,theory_reduced,2026-03-17T17:07:08.313795+00:00,,,X,12,144,288,12,0.7060055732727051,936,12,8784,97,,,,,,,,0,12,0,4000,0,0.0,0.0,0.000921794749483,0.0,16434.29655623436,67.9804900623858,
bb144_baseline_mono,BB144,monomial_column,z_memory,12,4000,0.001,0.001,0.001,0.001,crossing,{},0.0,1.0,False,bposd,,bb144 baseline mono,theory_reduced,2026-03-18T05:22:13.789257+00:00,,,X,12,144,288,12,0.7429156303405762,936,12,8784,97,,,,,,,,0,12,0,4000,0,0.0,0.0,0.000921794749483,0.0,20794.81351208687,63.71051586419344,
bb144_bi_anchor_topup,BB144,ibm_biplanar,z_memory,12,5000,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,1.0,False,bposd,,BB144 bi anchor topup,theory_reduced,2026-03-22T21:23:58.184797+00:00,"{'code': 'BB144', 'embedding_type': 'ibm_biplanar', 'h': 1.0, 'lane_eps': 1.388888888888889e-05, 'layer_A': ['A2', 'A3', 'B3'], 'layer_B': ['A1', 'B1', 'B2']}",ad3617b20077e386,X,12,144,288,12,22.617888689041138,936,12,99936,97,,,,,0.0177926733174237,0.5221416856872565,0.5221416856872565,92016,12,12,5000,0,0.0024,0.0017173498330021,0.0033104716707665,0.0002002203379247,3956.425008535385,46267.32681308314,
bb144_v3_per_1e-03_mono,BB144,monomial_column,z_memory,12,2500,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,1.0,False,bposd,,v3 BB144 PER p=0.001 J0=0.04 mono,theory_reduced,2026-03-21T04:58:29.404179+00:00,,,X,12,144,288,12,3.320241451263428,936,12,99936,97,,,,,0.1114147859984334,2.8110231695094385,2.8110231695094385,92016,16,805,2500,0,0.322,0.3125294147204748,0.3316160019666949,0.0318652523286732,10732.54092502594,169810.3082885351,
