semantic_id,merged_ids,n_merged,code,embedding,experiment_kind,geometry_scope,kernel,kernel_params,J0,p_cnot,cycles,decoded_sector,d,n_data,k,reference_weighted_exposure,primary_failures,primary_shots,primary_discards,primary_ler_total,primary_ler_total_lo,primary_ler_total_hi,primary_ler_per_cycle_derived
BB108_ibm__powe_J0.01_p0.001,bb108_j0_0.01_ibm_,1,BB108,ibm_biplanar,z_memory,theory_reduced,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.01,0.001,10,X,12,108,8,,0,2500,0,0.0,0.0,0.0007361508123206742,0.0
BB108_ibm__powe_J0.02_p0.001,bb108_j0_0.02_ibm_,1,BB108,ibm_biplanar,z_memory,theory_reduced,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.02,0.001,10,X,12,108,8,,1,2500,0,0.0004,6.9096626462009e-05,0.001319221020362373,4.000720182451012e-05
BB108_ibm__powe_J0.04_p0.001,bb108_j0_0.04_ibm_,1,BB108,ibm_biplanar,z_memory,theory_reduced,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,0.001,10,X,12,108,8,,11,2500,0,0.0044,0.003095149589263272,0.006161194767624308,0.0004408736355151488
BB108_mono_powe_J0.01_p0.001,bb108_j0_0.01_mono,1,BB108,monomial_column,z_memory,theory_reduced,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.01,0.001,10,X,12,108,8,,3,2500,0,0.0012,0.0005469785447633938,0.0023659154952504115,0.00012006484929083516
BB108_mono_powe_J0.02_p0.001,bb108_j0_0.02_mono,1,BB108,monomial_column,z_memory,theory_reduced,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.02,0.001,10,X,12,108,8,,37,2500,0,0.0148,0.012390470619558778,0.017629816802492617,0.001489950194012546
BB108_mono_powe_J0.04_p0.001,bb108_j0_0.04_mono,1,BB108,monomial_column,z_memory,theory_reduced,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,0.001,10,X,12,108,8,,525,2500,0,0.21,0.20177364166775114,0.21846400516683345,0.023296578441422855
BB144_ibm__cros_J0.0_p0.001,bb144_baseline_bi,1,BB144,ibm_biplanar,z_memory,theory_reduced,crossing,{},0.0,0.001,12,X,12,144,12,,0,4000,0,0.0,0.0,0.00046015778515466865,0.0
BB144_ibm__powe_J0.01_p0.001,bb144_v3_pj0_0.01_bi,1,BB144,ibm_biplanar,z_memory,theory_reduced,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.01,0.001,12,X,12,144,12,,0,5000,0,0.0,0.0,0.0003681431708574616,0.0
BB144_ibm__powe_J0.02_p0.001,bb144_v3_pj0_0.02_bi,1,BB144,ibm_biplanar,z_memory,theory_reduced,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.02,0.001,12,X,12,144,12,,2,5000,0,0.0004,0.00014163820950606598,0.0009273373567735946,3.3339446006586115e-05
BB144_ibm__powe_J0.04_p0.0005,bb144_v3_per_5e-04_bi,1,BB144,ibm_biplanar,z_memory,theory_reduced,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,0.0005,12,X,12,144,12,,4,5000,0,0.0008,0.00041716472158620955,0.0014321099291897499,6.669112361223917e-05
BB144_ibm__powe_J0.04_p0.001,bb144_bi_anchor_topup|bb144_v3_pj0_0.04_bi,2,BB144,ibm_biplanar,z_memory,theory_reduced,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,0.001,12,X,12,144,12,,31,10000,0,0.0031,0.0025468111500704443,0.003761526280935277,0.00025870111055181777
BB144_ibm__powe_J0.04_p0.002,bb144_v3_per_2e-03_bi,1,BB144,ibm_biplanar,z_memory,theory_reduced,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,0.002,12,X,12,144,12,,113,5000,0,0.0226,0.020496897137806856,0.02490314584096977,0.0019031279299530635
BB144_ibm__powe_J0.04_p0.003,bb144_v3_per_3e-03_bi,1,BB144,ibm_biplanar,z_memory,theory_reduced,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,0.003,12,X,12,144,12,,470,5000,0,0.094,0.08985589120865237,0.0983104313692586,0.008192587409019847
BB144_ibm__powe_J0.08_p0.001,bb144_v3_pj0_0.08_bi,1,BB144,ibm_biplanar,z_memory,theory_reduced,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.08,0.001,12,X,12,144,12,,376,5000,0,0.0752,0.07145742365777276,0.07911704047283111,0.006493639690404507
BB144_mono_cros_J0.0_p0.001,bb144_baseline_mono,1,BB144,monomial_column,z_memory,theory_reduced,crossing,{},0.0,0.001,12,X,12,144,12,,0,4000,0,0.0,0.0,0.00046015778515466865,0.0
BB144_mono_powe_J0.01_p0.001,bb144_v3_pj0_0.01_mono,1,BB144,monomial_column,z_memory,theory_reduced,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.01,0.001,12,X,12,144,12,,3,5000,0,0.0006,0.00027347195731751406,0.0011833030833233935,5.001375527313723e-05
BB144_mono_powe_J0.02_p0.001,bb144_v3_pj0_0.02_mono,1,BB144,monomial_column,z_memory,theory_reduced,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.02,0.001,12,X,12,144,12,,115,5000,0,0.023,0.020878705436397773,0.02532109224388191,0.0019371734976677546
BB144_mono_powe_J0.04_p0.0005,bb144_v3_per_5e-04_mono,1,BB144,monomial_column,z_memory,theory_reduced,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,0.0005,12,X,12,144,12,,1097,7500,0,0.14626666666666666,0.14216753954073533,0.1504616595063559,0.01309158239427155
BB144_mono_powe_J0.04_p0.001,bb144_v3_per_1e-03_mono,1,BB144,monomial_column,z_memory,theory_reduced,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,0.001,12,X,12,144,12,,805,2500,0,0.322,0.31252941472047485,0.33161600196669494,0.03186525232867321
BB144_mono_powe_J0.04_p0.002,bb144_v3_per_2e-03_mono,1,BB144,monomial_column,z_memory,theory_reduced,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,0.002,12,X,12,144,12,,1553,2500,0,0.6212,0.6112504967512808,0.6310505656618864,0.07771000480900847
BB144_mono_powe_J0.04_p0.003,bb144_v3_per_3e-03_mono,1,BB144,monomial_column,z_memory,theory_reduced,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,0.003,12,X,12,144,12,,2083,2500,0,0.8332,0.8254078450883098,0.8407184998030641,0.13864336413263068
BB144_mono_powe_J0.08_p0.001,bb144_v3_pj0_0.08_mono,1,BB144,monomial_column,z_memory,theory_reduced,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.08,0.001,12,X,12,144,12,,500,500,0,1.0,0.9963246611307157,1.0,1.0
BB72_ibm__cros_J0.0_p0.001,bb72_x_baseline_bi,1,BB72,ibm_biplanar,x_memory,theory_reduced,crossing,{},0.0,0.001,6,Z,6,72,12,,2,4000,0,0.0005,0.00017704905407335273,0.0011590952484250056,8.335069975107245e-05
